id,participant,date,secondary_task,episode_number,n_distractors,n_targets,angle_max,angle_min,radius,speed_min,speed_max,RSI,SRI_max,presentation_time,fixation_time,tracking_time,probe_time,nb_target_retrieved,nb_distract_retrieved,id_session,finished_session
3910,camille,2020-10-15 22:00:00+00:00,none,1259,7,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,5.0,3.2,3,5,0,False
3909,camille,2020-10-15 22:00:00+00:00,none,1258,8,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,5.5,3.2,4,6,0,False
3908,camille,2020-10-15 22:00:00+00:00,none,1257,8,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,4.5,2.2,1,7,0,False
3907,camille,2020-10-15 22:00:00+00:00,none,1256,7,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,5.5,2.2,0,4,0,False
3906,camille,2020-10-15 22:00:00+00:00,none,1255,7,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,5.5,3.8,4,6,0,False
3905,camille,2020-10-15 22:00:00+00:00,none,1254,7,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.5,3.6,3,6,0,False
3904,camille,2020-10-15 22:00:00+00:00,none,1253,8,5,9,3,90,2.5,2.5,1.0,2.0,1.0,1.0,3.5,3.8,4,7,0,False
3903,camille,2020-10-15 22:00:00+00:00,none,1252,7,3,9,3,90,5.5,5.5,1.0,2.0,1.0,1.0,5.0,3.0,3,7,0,False
3902,camille,2020-10-15 22:00:00+00:00,none,1251,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3901,camille,2020-10-15 22:00:00+00:00,none,1250,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,5.0,2.2,3,7,0,False
3900,camille,2020-10-15 22:00:00+00:00,none,1249,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,5.5,2.2,4,7,0,False
3899,camille,2020-10-15 22:00:00+00:00,none,1248,7,3,9,3,90,5.5,5.5,1.0,2.0,1.0,1.0,3.5,3.0,1,4,0,False
3898,camille,2020-10-15 22:00:00+00:00,none,1247,7,3,9,3,90,6.5,6.5,1.0,2.0,1.0,1.0,6.0,2.5999999999999996,1,6,0,False
3897,camille,2020-10-15 22:00:00+00:00,none,1246,7,3,9,3,90,6.5,6.5,1.0,2.0,1.0,1.0,3.5,3.0,0,7,0,False
3896,camille,2020-10-15 22:00:00+00:00,none,1245,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,4.5,2.0,3,7,0,False
3895,camille,2020-10-15 22:00:00+00:00,none,1244,7,3,9,3,90,5.5,5.5,1.0,2.0,1.0,1.0,6.5,2.5999999999999996,3,7,0,False
3894,camille,2020-10-15 22:00:00+00:00,none,1243,7,4,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,3.5,3.2,4,7,0,False
3893,camille,2020-10-15 22:00:00+00:00,none,1242,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,4,0,False
3892,camille,2020-10-15 22:00:00+00:00,none,1241,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,0,6,0,False
3891,camille,2020-10-15 22:00:00+00:00,none,1240,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3890,camille,2020-10-15 22:00:00+00:00,none,1239,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,5.5,2.5999999999999996,3,5,0,False
3889,camille,2020-10-15 22:00:00+00:00,none,1238,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.5999999999999996,1,5,0,False
3888,camille,2020-10-15 22:00:00+00:00,none,1237,7,3,9,3,90,6.5,6.5,1.0,2.0,1.0,1.0,4.5,2.8,3,7,0,False
3887,camille,2020-10-15 22:00:00+00:00,none,1236,7,3,9,3,90,5.5,5.5,1.0,2.0,1.0,1.0,6.5,3.2,3,7,0,False
3886,camille,2020-10-15 22:00:00+00:00,none,1235,7,3,9,3,90,6.5,6.5,1.0,2.0,1.0,1.0,7.0,2.2,3,7,0,False
3885,camille,2020-10-15 22:00:00+00:00,none,1234,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,3.5,2.4,3,7,0,False
3884,camille,2020-10-15 22:00:00+00:00,none,1233,8,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,5.5,3.6,4,7,0,False
3883,camille,2020-10-15 22:00:00+00:00,none,1232,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.5,2.4,3,5,0,False
3882,camille,2020-10-15 22:00:00+00:00,none,1231,7,3,9,3,90,6.5,6.5,1.0,2.0,1.0,1.0,7.0,2.2,3,7,0,False
3881,camille,2020-10-15 22:00:00+00:00,none,1230,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3880,camille,2020-10-15 22:00:00+00:00,none,1229,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3879,camille,2020-10-15 22:00:00+00:00,none,1228,8,5,9,3,90,2.5,2.5,1.0,2.0,1.0,1.0,3.0,3.8,5,8,0,False
3878,camille,2020-10-15 22:00:00+00:00,none,1227,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,5.0,3.4,4,7,0,False
3877,camille,2020-10-15 22:00:00+00:00,none,1226,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.8,2,5,0,False
3876,camille,2020-10-15 22:00:00+00:00,none,1225,8,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,5.0,3.6,2,6,0,False
3875,camille,2020-10-15 22:00:00+00:00,none,1224,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3874,camille,2020-10-15 22:00:00+00:00,none,1223,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3873,camille,2020-10-15 22:00:00+00:00,none,1222,7,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,3.5,3.2,4,6,0,False
3872,camille,2020-10-15 22:00:00+00:00,none,1221,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3871,camille,2020-10-15 22:00:00+00:00,none,1220,7,3,9,3,90,6.5,6.5,1.0,2.0,1.0,1.0,4.5,3.0,3,7,0,False
3870,camille,2020-10-15 22:00:00+00:00,none,1219,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,6,0,False
3869,camille,2020-10-15 22:00:00+00:00,none,1218,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3868,camille,2020-10-15 22:00:00+00:00,none,1217,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3867,camille,2020-10-15 22:00:00+00:00,none,1216,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,6,0,False
3866,camille,2020-10-15 22:00:00+00:00,none,1215,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,6.0,2.5999999999999996,3,7,0,False
3865,camille,2020-10-15 22:00:00+00:00,none,1214,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3864,camille,2020-10-15 22:00:00+00:00,none,1213,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,4.5,2.2,2,6,0,False
3863,camille,2020-10-15 22:00:00+00:00,none,1212,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3862,camille,2020-10-15 22:00:00+00:00,none,1211,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,6,0,False
3861,camille,2020-10-15 22:00:00+00:00,none,1210,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,3.2,2,6,0,False
3860,camille,2020-10-15 22:00:00+00:00,none,1209,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,0,2,0,False
3859,camille,2020-10-15 22:00:00+00:00,none,1208,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,6.5,2.5999999999999996,2,6,0,False
3858,camille,2020-10-15 22:00:00+00:00,none,1207,7,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,5.0,3.8,4,6,0,False
3857,camille,2020-10-15 22:00:00+00:00,none,1206,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3856,camille,2020-10-15 22:00:00+00:00,none,1205,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.5,3.2,3,6,0,False
3855,camille,2020-10-15 22:00:00+00:00,none,1204,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3854,camille,2020-10-15 22:00:00+00:00,none,1203,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3853,camille,2020-10-15 22:00:00+00:00,none,1202,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.8,3,4,0,False
3852,camille,2020-10-15 22:00:00+00:00,none,1201,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.5,2.8,4,6,0,False
3851,camille,2020-10-15 22:00:00+00:00,none,1200,7,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,5.0,3.4,3,6,0,False
3850,camille,2020-10-15 22:00:00+00:00,none,1199,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,4.5,2.2,3,7,0,False
3849,camille,2020-10-15 22:00:00+00:00,none,1198,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,5.0,3.8,2,3,0,False
3848,camille,2020-10-15 22:00:00+00:00,none,1197,6,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.5,3.8,4,5,0,False
3847,camille,2020-10-15 22:00:00+00:00,none,1196,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.8,2,6,0,False
3846,camille,2020-10-15 22:00:00+00:00,none,1195,7,3,9,3,90,6.5,6.5,1.0,2.0,1.0,1.0,7.0,3.0,2,3,0,False
3845,camille,2020-10-15 22:00:00+00:00,none,1194,7,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,4.5,2.4,3,6,0,False
3844,camille,2020-10-15 22:00:00+00:00,none,1193,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,7.0,3.2,2,6,0,False
3843,camille,2020-10-15 22:00:00+00:00,none,1192,8,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,5,8,0,False
3842,camille,2020-10-15 22:00:00+00:00,none,1191,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3841,camille,2020-10-15 22:00:00+00:00,none,1190,8,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,5.0,3.4,3,7,0,False
3840,camille,2020-10-15 22:00:00+00:00,none,1189,8,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.5,2.5999999999999996,2,6,0,False
3839,camille,2020-10-15 22:00:00+00:00,none,1188,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3838,camille,2020-10-15 22:00:00+00:00,none,1187,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3837,camille,2020-10-15 22:00:00+00:00,none,1186,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3836,camille,2020-10-15 22:00:00+00:00,none,1185,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,3,4,0,False
3835,camille,2020-10-15 22:00:00+00:00,none,1184,7,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.5,2.5999999999999996,2,7,0,False
3834,camille,2020-10-15 22:00:00+00:00,none,1183,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,6,0,False
3833,camille,2020-10-15 22:00:00+00:00,none,1182,7,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,5.0,3.2,3,6,0,False
3832,camille,2020-10-15 22:00:00+00:00,none,1181,6,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.5,3.8,4,6,0,False
3831,camille,2020-10-15 22:00:00+00:00,none,1180,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,7.0,3.2,3,7,0,False
3830,camille,2020-10-15 22:00:00+00:00,none,1179,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,6.0,2.2,2,6,0,False
3829,camille,2020-10-15 22:00:00+00:00,none,1178,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3828,camille,2020-10-15 22:00:00+00:00,none,1177,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3827,camille,2020-10-15 22:00:00+00:00,none,1176,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3826,camille,2020-10-15 22:00:00+00:00,none,1175,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3825,camille,2020-10-15 22:00:00+00:00,none,1174,7,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.5,2.8,3,6,0,False
3824,camille,2020-10-15 22:00:00+00:00,none,1173,6,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,3.5,3.8,5,5,0,False
3823,camille,2020-10-15 22:00:00+00:00,none,1172,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.0,3.4,4,7,0,False
3822,camille,2020-10-15 22:00:00+00:00,none,1171,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,4.5,3.8,1,5,0,False
3821,camille,2020-10-15 22:00:00+00:00,none,1170,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.2,3,5,0,False
3820,camille,2020-10-15 22:00:00+00:00,none,1169,6,5,9,3,90,2.5,2.5,1.0,2.0,1.0,1.0,4.5,3.6,3,3,0,False
3819,camille,2020-10-15 22:00:00+00:00,none,1168,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,4.5,2.4,2,6,0,False
3818,camille,2020-10-15 22:00:00+00:00,none,1167,7,4,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.5,3.4,4,7,0,False
3817,camille,2020-10-15 22:00:00+00:00,none,1166,7,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.5,3.8,5,7,0,False
3816,camille,2020-10-15 22:00:00+00:00,none,1165,7,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,3.5,3.6,5,6,0,False
3815,camille,2020-10-15 22:00:00+00:00,none,1164,6,5,9,3,90,2.5,2.5,1.0,2.0,1.0,1.0,3.5,3.8,5,6,0,False
3814,camille,2020-10-15 22:00:00+00:00,none,1163,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,3.5,3.0,3,7,0,False
3813,camille,2020-10-15 22:00:00+00:00,none,1162,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,5.0,3.8,4,5,0,False
3812,camille,2020-10-15 22:00:00+00:00,none,1161,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3811,camille,2020-10-15 22:00:00+00:00,none,1160,7,3,9,3,90,5.5,5.5,1.0,2.0,1.0,1.0,6.5,3.0,3,5,0,False
3810,camille,2020-10-15 22:00:00+00:00,none,1159,8,5,9,3,90,2.5,2.5,1.0,2.0,1.0,1.0,3.5,3.6,5,7,0,False
3809,camille,2020-10-15 22:00:00+00:00,none,1158,8,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,3.5,3.4,4,7,0,False
3808,camille,2020-10-15 22:00:00+00:00,none,1157,8,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,3.0,3.4,4,7,0,False
3807,camille,2020-10-15 22:00:00+00:00,none,1156,8,4,9,3,90,5.0,5.0,1.0,2.0,1.0,1.0,4.5,2.4,4,8,0,False
3806,camille,2020-10-15 22:00:00+00:00,none,1155,8,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.0,3.8,3,7,0,False
3805,camille,2020-10-15 22:00:00+00:00,none,1154,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,5.5,2.8,2,4,0,False
3803,camille,2020-10-15 22:00:00+00:00,none,1153,8,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.0,3.8,2,8,0,False
3801,camille,2020-10-15 22:00:00+00:00,none,1152,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,2,3,0,False
3799,camille,2020-10-15 22:00:00+00:00,none,1151,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,5,8,0,False
3798,camille,2020-10-15 22:00:00+00:00,none,1150,7,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,4.5,3.4,4,7,0,False
3797,camille,2020-10-15 22:00:00+00:00,none,1149,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,7.0,2.2,3,7,0,False
3796,camille,2020-10-15 22:00:00+00:00,none,1148,8,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,5.5,3.4,4,8,0,False
3795,camille,2020-10-15 22:00:00+00:00,none,1147,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
